,name,type,value,date,event
0,泰国,,4,2020/1/23,WHO宣布推后对中国武汉发生的新型肺炎确定为国际关注的突发公共卫生事件的决定
1,新加坡,,1,2020/1/23,
2,日本,,1,2020/1/23,
3,韩国,,1,2020/1/23,
4,泰国,,5,2020/1/24,欧洲首次确诊新型冠肺炎病例(法国确诊两例)
5,新加坡,,3,2020/1/24,
6,日本,,2,2020/1/24,
7,韩国,,2,2020/1/24,
8,美国,,1,2020/1/24,
9,越南,,2,2020/1/24,
10,泰国,,5,2020/1/25,这个市25号
11,新加坡,,3,2020/1/25,
12,日本,,3,2020/1/25,
13,韩国,,2,2020/1/25,
14,澳大利亚,,4,2020/1/25,
15,美国,,2,2020/1/25,
16,马来西亚,,3,2020/1/25,
17,越南,,2,2020/1/25,
18,法国,,3,2020/1/25,
19,尼泊尔,,1,2020/1/25,
20,泰国,,8,2020/1/26,这个市26号
21,新加坡,,4,2020/1/26,
22,日本,,4,2020/1/26,
23,韩国,,3,2020/1/26,
24,澳大利亚,,4,2020/1/26,
25,美国,,3,2020/1/26,
26,马来西亚,,4,2020/1/26,
27,越南,,2,2020/1/26,
28,法国,,3,2020/1/26,
29,加拿大,,1,2020/1/26,
30,尼泊尔,,1,2020/1/26,
31,泰国,,8,2020/1/27,世卫组织在26日、27日的新型冠状病毒报告中，将新型冠状病毒疫情全球范围风险改为高风险。
32,新加坡,,4,2020/1/27,
33,日本,,4,2020/1/27,
34,韩国,,4,2020/1/27,
35,澳大利亚,,5,2020/1/27,
36,美国,,5,2020/1/27,
37,马来西亚,,4,2020/1/27,
38,越南,,2,2020/1/27,
39,法国,,3,2020/1/27,
40,加拿大,,1,2020/1/27,
41,尼泊尔,,1,2020/1/27,
42,泰国,,14,2020/1/28,这个市28号
43,新加坡,,7,2020/1/28,
44,日本,,6,2020/1/28,
45,韩国,,4,2020/1/28,
46,澳大利亚,,5,2020/1/28,
47,德国,,1,2020/1/28,
48,美国,,5,2020/1/28,
49,马来西亚,,4,2020/1/28,
50,越南,,2,2020/1/28,
